mature_mirna_from_literature	miRBase_Last_Version	miRBase_accession	miRBase_family	organism
bta-let-7	bta-let-7a-5p	MIMAT0003844	let-7	Bos taurus
bta-let-7-5p	bta-let-7a-5p	MIMAT0003844	let-7	Bos taurus
bta-let-7a	bta-let-7a-5p	MIMAT0003844	let-7	Bos taurus
bta-let-7b	bta-let-7b	MIMAT0004331	let-7	Bos taurus
bta-let-7c	bta-let-7c	MIMAT0004332	let-7	Bos taurus
bta-let-7d	bta-let-7d	MIMAT0003810	let-7	Bos taurus
bta-let-7e	bta-let-7e	MIMAT0004333	let-7	Bos taurus
bta-let-7f	bta-let-7f	MIMAT0003519	let-7	Bos taurus
bta-let-7i	bta-let-7i	MIMAT0003851	let-7	Bos taurus
bta-miR-100	bta-miR-100	MIMAT0009215	mir-10	Bos taurus
bta-miR-103	bta-miR-103	MIMAT0003521	mir-103	Bos taurus
bta-miR-107	bta-miR-107	MIMAT0003785	mir-103	Bos taurus
bta-miR-10a	bta-miR-10a	MIMAT0003786	mir-10	Bos taurus
bta-miR-125a	bta-miR-125a	MIMAT0003538	mir-10	Bos taurus
bta-mir-125b	bta-mir-125b	MIMAT0003539	mir-10	Bos taurus
bta-miR-126-3p	bta-miR-126-3p	MIMAT0003540	mir-126	Bos taurus
bta-miR-141	bta-miR-141	MIMAT0009232	mir-8	Bos taurus
bta-miR-143	bta-miR-143	MIMAT0009233	mir-143	Bos taurus
bta-miR-145	bta-miR-145	MIMAT0003542	mir-145	Bos taurus
bta-miR-149-5p	bta-miR-149-5p	MIMAT0024570	mir-149	Bos taurus
bta-miR-151-3p	bta-miR-151-3p	MIMAT0003524	mir-28	Bos taurus
bta-miR-151-5p	bta-miR-151-5p	MIMAT0003523	mir-28	Bos taurus
bta-miR-152	bta-miR-152	MIMAT0009238	mir-148	Bos taurus
bta-miR-17-5p	bta-miR-17-5p	MIMAT0003815	mir-17	Bos taurus
bta-miR-181a	bta-miR-181a	MIMAT0003543	mir-181	Bos taurus
bta-miR-182	bta-miR-182	MIMAT0009244	mir-181	Bos taurus
bta-miR-191	bta-miR-191	MIMAT0003819	mir-191	Bos taurus
bta-miR-195	bta-miR-195	MIMAT0004335	mir-15	Bos taurus
bta-miR-19b	bta-miR-19b	MIMAT0004337	mir-19	Bos taurus
bta-miR-200a	bta-miR-200a	MIMAT0003822	mir-8	Bos taurus
bta-miR-200b	bta-miR-200b	MIMAT0003842	mir-8	Bos taurus
bta-miR-200c	bta-miR-200c	MIMAT0003823	mir-8	Bos taurus
bta-miR-205	bta-miR-205	MIMAT0003545	mir-205	Bos taurus
bta-miR-20a	bta-miR-20a	MIMAT0003527	mir-17	Bos taurus
bta-miR-21-5p	bta-miR-21-5p	MIMAT0003528	mir-21	Bos taurus
bta-miR-22-3p	bta-miR-22-3p	MIMAT0012536	mir-22	Bos taurus
bta-miR-221	bta-miR-221	MIMAT0003529	mir-221	Bos taurus
bta-miR-222	bta-miR-222	MIMAT0003530	mir-221	Bos taurus
bta-miR-23a	bta-miR-23a	MIMAT0003827	mir-23	Bos taurus
bta-miR-23b-3p	bta-miR-23b-3p	MIMAT0003852	mir-23	Bos taurus
bta-miR-24	bta-miR-24	MIMAT0003840	mir-24	Bos taurus
bta-miR-24-3p	bta-miR-24-3p	MIMAT0003840	mir-24	Bos taurus
bta-miR-26a	bta-miR-26a	MIMAT0003516	mir-26	Bos taurus
bta-miR-27a-3p	bta-miR-27a-3p	MIMAT0003532	mir-27	Bos taurus
bta-miR-27b	bta-miR-27b	MIMAT0003546	mir-27	Bos taurus
