Original file	Unzipped path	Unzipped path check	miRNA	condition	experiment	condition_format		Sample name	title	source name	organism	characteristics: miRNA	characteristics: AGO–miRNA complex purification	characteristics: sampletype	characteristics: rep	molecule	description	processed data file	processed data file	processed data file	processed data file	processed data file	processed data file	processed data file	processed data file	processed data file	processed data file	processed data file	processed data file	raw file
/lab/solexa_public/Bartel/170713_WIGTC-HISEQ2B_CB5HKANXX/QualityScore/ATCACG-s_3_1_sequence.txt.tar.gz	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/I.txt	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/I.txt	let-7a-21nt	I	equil_c2_nb	inputlibrary	purification1	Sample 1	let-7a-21nt_purification1_inputlibrary	In vitro biochemical assay	NA	let-7a-21nt	1	inputlibrary	NA	synthetic RNA library		agorbns_let-7a-21nt_purification1_sitecounts.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_sitecounts.txt	agorbns_let-7a-21nt_purification1_kds.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_kds.txt	agorbns_let-7a-21nt_purification1_pairing_and_offset_model_coefficients.txt	agorbns_let-7a-21nt_purification1_pairing_offset_and_mismatch_model_coefficients.txt	NA	NA	NA	NA	NA	NA	agorbns_let-7a-21nt_purification1_inputlibrary.txt.gz
/lab/solexa_public/Bartel/170713_WIGTC-HISEQ2B_CB5HKANXX/QualityScore/CGATGT-s_3_1_sequence.txt.tar.gz	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/40.txt	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/40.txt	let-7a-21nt	40	equil_c2_nb	40percent	purification1	Sample 2	let-7a-21nt_purification1_40percent	In vitro biochemical assay	NA	let-7a-21nt	1	40percent	NA	synthetic RNA library		agorbns_let-7a-21nt_purification1_sitecounts.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_sitecounts.txt	agorbns_let-7a-21nt_purification1_kds.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_kds.txt	agorbns_let-7a-21nt_purification1_pairing_and_offset_model_coefficients.txt	agorbns_let-7a-21nt_purification1_pairing_offset_and_mismatch_model_coefficients.txt	NA	NA	NA	NA	NA	NA	agorbns_let-7a-21nt_purification1_40percent.txt.gz
/lab/solexa_public/Bartel/170713_WIGTC-HISEQ2B_CB5HKANXX/QualityScore/TTAGGC-s_3_1_sequence.txt.tar.gz	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/12.6.txt	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/12.6.txt	let-7a-21nt	12.6	equil_c2_nb	12.65percent	purification1	Sample 3	let-7a-21nt_purification1_12.65percent_rep1	In vitro biochemical assay	NA	let-7a-21nt	1	12.65percent	1	synthetic RNA library		agorbns_let-7a-21nt_purification1_sitecounts.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_sitecounts.txt	agorbns_let-7a-21nt_purification1_kds.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_kds.txt	agorbns_let-7a-21nt_purification1_pairing_and_offset_model_coefficients.txt	agorbns_let-7a-21nt_purification1_pairing_offset_and_mismatch_model_coefficients.txt	NA	NA	NA	NA	NA	NA	agorbns_let-7a-21nt_purification1_12.65percent_rep1.txt.gz
/lab/solexa_public/Bartel/170721_WIGTC-HISEQ2A_CB2DFANXX/QualityScore/GGCTAC-s_6_1_sequence.txt.tar.gz	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/12.6_2.txt	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/12.6_2.txt	let-7a-21nt	12.6_2	equil_c2_nb	12.65_2percent	purification1	Sample 4	let-7a-21nt_purification1_12.65percent_rep2	In vitro biochemical assay	NA	let-7a-21nt	1	12.65percent	2	synthetic RNA library		agorbns_let-7a-21nt_purification1_sitecounts.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_sitecounts.txt	agorbns_let-7a-21nt_purification1_kds.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_kds.txt	agorbns_let-7a-21nt_purification1_pairing_and_offset_model_coefficients.txt	agorbns_let-7a-21nt_purification1_pairing_offset_and_mismatch_model_coefficients.txt	NA	NA	NA	NA	NA	NA	agorbns_let-7a-21nt_purification1_12.65percent_rep2.txt.gz
/lab/solexa_public/Bartel/170713_WIGTC-HISEQ2B_CB5HKANXX/QualityScore/TGACCA-s_3_1_sequence.txt.tar.gz	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/4.txt	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/4.txt	let-7a-21nt	4	equil_c2_nb	4percent	purification1	Sample 5	let-7a-21nt_purification1_4percent	In vitro biochemical assay	NA	let-7a-21nt	1	4percent	NA	synthetic RNA library		agorbns_let-7a-21nt_purification1_sitecounts.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_sitecounts.txt	agorbns_let-7a-21nt_purification1_kds.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_kds.txt	agorbns_let-7a-21nt_purification1_pairing_and_offset_model_coefficients.txt	agorbns_let-7a-21nt_purification1_pairing_offset_and_mismatch_model_coefficients.txt	NA	NA	NA	NA	NA	NA	agorbns_let-7a-21nt_purification1_4percent.txt.gz
/lab/solexa_public/Bartel/170713_WIGTC-HISEQ2B_CB5HKANXX/QualityScore/ACAGTG-s_3_1_sequence.txt.tar.gz	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/1.26.txt	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/1.26.txt	let-7a-21nt	1.26	equil_c2_nb	1.265percent	purification1	Sample 6	let-7a-21nt_purification1_1.265percent	In vitro biochemical assay	NA	let-7a-21nt	1	1.265percent	NA	synthetic RNA library		agorbns_let-7a-21nt_purification1_sitecounts.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_sitecounts.txt	agorbns_let-7a-21nt_purification1_kds.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_kds.txt	agorbns_let-7a-21nt_purification1_pairing_and_offset_model_coefficients.txt	agorbns_let-7a-21nt_purification1_pairing_offset_and_mismatch_model_coefficients.txt	NA	NA	NA	NA	NA	NA	agorbns_let-7a-21nt_purification1_1.265percent.txt.gz
/lab/solexa_public/Bartel/170713_WIGTC-HISEQ2B_CB5HKANXX/QualityScore/GCCAAT-s_3_1_sequence.txt.tar.gz	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/0.4.txt	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/0.4.txt	let-7a-21nt	0.4	equil_c2_nb	0.4percent	purification1	Sample 7	let-7a-21nt_purification1_0.4percent	In vitro biochemical assay	NA	let-7a-21nt	1	0.4percent	NA	synthetic RNA library		agorbns_let-7a-21nt_purification1_sitecounts.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_sitecounts.txt	agorbns_let-7a-21nt_purification1_kds.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_kds.txt	agorbns_let-7a-21nt_purification1_pairing_and_offset_model_coefficients.txt	agorbns_let-7a-21nt_purification1_pairing_offset_and_mismatch_model_coefficients.txt	NA	NA	NA	NA	NA	NA	agorbns_let-7a-21nt_purification1_0.4percent.txt.gz
/lab/solexa_public/Bartel/170713_WIGTC-HISEQ2B_CB5HKANXX/QualityScore/CAGATC-s_3_1_sequence.txt.tar.gz	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/0.txt	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c2_nb/reads/0.txt	let-7a-21nt	0	equil_c2_nb	0percent	purification1	Sample 8	let-7a-21nt_purification1_0percent	In vitro biochemical assay	NA	let-7a-21nt	1	0percent	NA	synthetic RNA library		agorbns_let-7a-21nt_purification1_sitecounts.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_sitecounts.txt	agorbns_let-7a-21nt_purification1_kds.txt	agorbns_let-7a-21nt_purification1_summed_8mer_mismatch_kds.txt	agorbns_let-7a-21nt_purification1_pairing_and_offset_model_coefficients.txt	agorbns_let-7a-21nt_purification1_pairing_offset_and_mismatch_model_coefficients.txt	NA	NA	NA	NA	NA	NA	agorbns_let-7a-21nt_purification1_0percent.txt.gz
/lab/solexa_public/Bartel/161215_WIGTC-HISEQA_CA4V2ACXX/QualityScore/ACTTGA-s_5_1_sequence.txt.tar.gz	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c_nb/reads/I.txt	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c_nb/reads/I.txt	let-7a-21nt	I	equil_c_nb	inputlibrary	purification2	Sample 9	let-7a-21nt_purification2_inputlibrary	In vitro biochemical assay	NA	let-7a-21nt	2	inputlibrary	NA	synthetic RNA library		agorbns_let-7a-21nt_purification2_sitecounts.txt	agorbns_let-7a-21nt_purification2_summed_8mer_mismatch_sitecounts.txt	agorbns_let-7a-21nt_purification2_kds.txt	agorbns_let-7a-21nt_purification2_summed_8mer_mismatch_kds.txt	agorbns_let-7a-21nt_purification2_pairing_and_offset_model_coefficients.txt	agorbns_let-7a-21nt_purification2_pairing_offset_and_mismatch_model_coefficients.txt	NA	NA	NA	NA	NA	NA	agorbns_let-7a-21nt_purification2_inputlibrary.txt.gz
/lab/solexa_public/Bartel/161215_WIGTC-HISEQA_CA4V2ACXX/QualityScore/GATCAG-s_5_1_sequence.txt.tar.gz	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c_nb/reads/40.txt	/lab/solexa_bartel/mcgeary/AgoRBNS/let-7a-21nt/equil_c_nb/reads/40.txt	let-7a-21nt	40	equil_c_nb	40percent	purification2	Sample 10	let-7a-21nt_purification2_40percent	In vitro biochemical assay	NA	let-7a-21nt	2	40percent	NA	synthetic RNA library		agorbns_let-7a-21nt_purification2_sitecounts.txt	agorbns_let-7a-21nt_purification2_summed_8mer_mismatch_sitecounts.txt	agorbns_let-7a-21nt_purification2_kds.txt	agorbns_let-7a-21nt_purification2_summed_8mer_mismatch_kds.txt	agorbns_let-7a-21nt_purification2_pairing_and_offset_model_coefficients.txt	agorbns_let-7a-21nt_purification2_pairing_offset_and_mismatch_model_coefficients.txt	NA	NA	NA	NA	NA	NA	agorbns_let-7a-21nt_purification2_40percent.txt.gz
