	miRNA	UTR	Sites	Duplex (pmol)	Renilla plasmid (ng)	Firefly plasmid	TRL (ng)	pUC (ug)	Assay Rep	Trans Rep	Renilla	Firefly
1	miR-1	C20orf139	miR-1	50	100	20	0	1	1	1	20337	40583
2	miR-1	C20orf139	miR-1	50	100	20	0	1	1	2	22916	42860
3	miR-1	C20orf139	miR-1	50	100	20	0	1	1	3	24142	45400
4	miR-1	C20orf139	miR-124	50	100	20	0	1	1	1	29268	42880
5	miR-1	C20orf139	miR-124	50	100	20	0	1	1	2	27701	45654
6	miR-1	C20orf139	miR-124	50	100	20	0	1	1	3	29548	46185
7	miR-1	KIF2	miR-1	50	100	20	0	1	1	1	21001	33104
8	miR-1	KIF2	miR-1	50	100	20	0	1	1	2	23275	37027
9	miR-1	KIF2	miR-1	50	100	20	0	1	1	3	27948	47533
10	miR-1	KIF2	miR-124	50	100	20	0	1	1	1	49205	38726
11	miR-1	KIF2	miR-124	50	100	20	0	1	1	2	47035	38233
12	miR-1	KIF2	miR-124	50	100	20	0	1	1	3	38563	28162
13	miR-124	C20orf139	miR-1	50	100	20	0	1	1	1	8137	16514
14	miR-124	C20orf139	miR-1	50	100	20	0	1	1	2	8966	18211
15	miR-124	C20orf139	miR-1	50	100	20	0	1	1	3	8000	16605
16	miR-124	C20orf139	miR-124	50	100	20	0	1	1	1	4801	17077
17	miR-124	C20orf139	miR-124	50	100	20	0	1	1	2	4949	18482
18	miR-124	C20orf139	miR-124	50	100	20	0	1	1	3	5266	15666
19	miR-124	KIF2	miR-1	50	100	20	0	1	1	1	8584	9863
20	miR-124	KIF2	miR-1	50	100	20	0	1	1	2	12930	14788
21	miR-124	KIF2	miR-1	50	100	20	0	1	1	3	12502	12327
22	miR-124	KIF2	miR-124	50	100	20	0	1	1	1	6243	12672
23	miR-124	KIF2	miR-124	50	100	20	0	1	1	2	6218	13961
24	miR-124	KIF2	miR-124	50	100	20	0	1	1	2	NA	NA
