	miRNA	UTR	Sites	Duplex (pmol)	Renilla plasmid (ng)	Firefly plasmid	TRL (ng)	pUC (ug)	Trans Rep	Assay Rep	Renilla	Firefly
1	miR-1	C20orf139	miR-1	50	100	20	0	1	1	1	18899	24846
2	miR-1	C20orf139	miR-1	50	100	20	0	1	1	2	18591	26314
3	miR-1	C20orf139	miR-1	50	100	20	0	1	1	3	18255	26324
4	miR-1	C20orf139	miR-1	50	100	20	0	1	2	1	20349	22080
5	miR-1	C20orf139	miR-1	50	100	20	0	1	2	2	19736	22966
6	miR-1	C20orf139	miR-1	50	100	20	0	1	2	3	19715	23018
7	miR-1	C20orf139	miR-1	50	100	20	0	1	3	1	23129	28172
8	miR-1	C20orf139	miR-1	50	100	20	0	1	3	2	22967	28334
9	miR-1	C20orf139	miR-1	50	100	20	0	1	3	3	23222	28355
10	miR-1	C20orf139	miR-124	50	100	20	0	1	1	1	17157	27447
11	miR-1	C20orf139	miR-124	50	100	20	0	1	2	1	17464	23319
12	miR-1	C20orf139	miR-124	50	100	20	0	1	3	1	25975	58333
13	miR-1	C20orf139	miR-1	50	100	20	100	1	1	1	17640	18082
14	miR-1	C20orf139	miR-1	50	100	20	100	1	2	1	20217	12978
15	miR-1	C20orf139	miR-1	50	100	20	100	1	3	1	19646	12987
16	miR-1	C20orf139	miR-124	50	100	20	100	1	1	1	14583	13919
17	miR-1	C20orf139	miR-124	50	100	20	100	1	2	1	20114	20988
18	miR-1	C20orf139	miR-124	50	100	20	100	1	3	1	13863	20878
19	miR-1	C20orf139	miR-1	50	100	20	0	0	1	1	120897	93571
20	miR-1	C20orf139	miR-1	50	100	20	0	0	2	1	138962	96697
21	miR-1	C20orf139	miR-1	50	100	20	0	0	3	1	147134	83802
22	miR-1	C20orf139	miR-124	50	100	20	0	0	1	1	119549	99548
23	miR-1	C20orf139	miR-124	50	100	20	0	0	2	1	122105	99251
24	miR-1	C20orf139	miR-124	50	100	20	0	0	3	1	79754	96658
25	miR-1	C20orf139	miR-1	50	100	20	100	0	1	1	20833	26441
26	miR-1	C20orf139	miR-1	50	100	20	100	0	2	1	49507	43650
27	miR-1	C20orf139	miR-1	50	100	20	100	0	3	1	54821	48875
28	miR-1	C20orf139	miR-124	50	100	20	100	0	1	1	48848	56263
29	miR-1	C20orf139	miR-124	50	100	20	100	0	2	1	51641	49817
30	miR-1	C20orf139	miR-124	50	100	20	100	0	2	1	34469	40465
