	Date	Sample #	miRNA	UTR	Sites	Format	Duplex (pmol)	RNAi_MAX (uL)	Renilla plasmid (ng)	Firefly plasmid	TRL (ng)	pUC (ug)	L2K (uL)	Cells plated (millions)	Assay Rep	Trans Rep	Renilla	Firefly
1	190224	1	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	1	20337	40583
2	190224	2	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	2	22916	42860
3	190224	3	miR-1	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	3	24142	45400
4	190224	4	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	1	29268	42880
5	190224	5	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	2	27701	45654
6	190224	6	miR-1	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	3	29548	46185
7	190224	7	miR-1	KIF2	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	1	21001	33104
8	190224	8	miR-1	KIF2	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	2	23275	37027
9	190224	9	miR-1	KIF2	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	3	27948	47533
10	190224	10	miR-1	KIF2	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	1	49205	38726
11	190224	11	miR-1	KIF2	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	2	47035	38233
12	190224	12	miR-1	KIF2	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	3	38563	28162
13	190224	13	miR-124	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	1	8137	16514
14	190224	14	miR-124	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	2	8966	18211
15	190224	15	miR-124	C20orf139	miR-1	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	3	8000	16605
16	190224	16	miR-124	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	1	4801	17077
17	190224	17	miR-124	C20orf139	miR-124	Co-transfection	50	NA	100	20	0	1	1.6	0.12	1	2	4949	18482
