Feature	6mer coeff	7mer-m8 coeff	7mer-1a coeff	8mer-1a coeff	6mer min	7mer-m8 min	7mer-1a min	8mer-1a min	6mer max	7mer-m8 max	7mer-1a max	8mer-1a max
Intercept	-1.148734757142584	-1.8196312284457463	-2.8463561332718608	-2.438378364841579	0	0	0	0	0	0	0	0
TA	0.24751800929742368	0.2246871316776007	0.532902519654371	0.2287512895314029	0	0	0	0	1	1	1	1
SPS	-0.0066282468824032685	-0.004289963973916549	-0.026773651806763377	-0.0013828803407034285	0	0	0	0	1	1	1	1
SA	-0.016692917341636814	-0.05780246709800077	-0.04809776596719491	-0.04867660728732163	0	0	0	0	1	1	1	1
siRNA_1A	-0.011449056895189694	0.008654374113649412	0.023268258094151995	0.019146969145235636	0	0	0	0	1	1	1	1
siRNA_1C	0.0033759207194133515	-0.03410837912612345	-0.07926519344224918	0.012661251180590503	0	0	0	0	1	1	1	1
siRNA_1G	0.0	0.0	0.0	0.0	0	0	0	0	1	1	1	1
siRNA_8A	0.007058605298214313	0.09628098505463588	0.0063412308608359995	0.10996372171501628	0	0	0	0	1	1	1	1
siRNA_8C	0.028492453072786566	-0.14649436833391	0.009835332919939469	-0.07211624048559975	0	0	0	0	1	1	1	1
siRNA_8G	0.016572528334048868	0.014030007767960385	0.03478090446912069	0.03262012800869276	0	0	0	0	1	1	1	1
site_8A	0.013654467777979119	0.0	0.012839493244399487	0.0	0	0	0	0	1	1	1	1
site_8G	-0.014703615511681463	0.0	-0.0005631837150114879	0.0	0	0	0	0	1	1	1	1
site_8C	0.004538806623609975	0.0	0.034704726554421576	0.0	0	0	0	0	1	1	1	1
Local_AU_score	-0.07300244268385432	-0.21790145525366275	-0.1351038584567117	-0.1483993697707588	0	0	0	0	1	1	1	1
Threep_score	-0.012175918373193527	-0.0420795914554757	-0.02773546806812511	-0.027851277194453614	0	0	0	0	1	1	1	1
Min_dist_score	0.012690301866740923	0.043582452970817705	0.0073125365938111996	0.051758744871799545	0	0	0	0	1	1	1	1
UTR_length_score	0.033437400206798806	0.158931561190366	0.15318714124037205	0.20444139470655584	0	0	0	0	1	1	1	1
ORF_length	0.021465784453021386	0.10624489268481498	0.07317066262238893	0.1933655139298773	0	0	0	0	1	1	1	1
ORF_8mers	-0.04635817190089133	-0.03322873938246747	-0.00564703349938074	0.019015308497556404	0	0	0	0	1	1	1	1
Off6m_score	-0.03445819650385588	-0.09266901081489969	-0.07160029931136361	-0.05853469289551822	0	0	0	0	1	1	1	1
PCT	0.0	-0.22249298846837468	-0.1501150311767233	-0.26805290153536687	0	0	0	0	1	1	1	1
