Feature	6mer coeff	7mer-m8 coeff	7mer-1a coeff	8mer-1a coeff	6mer min	7mer-m8 min	7mer-1a min	8mer-1a min	6mer max	7mer-m8 max	7mer-1a max	8mer-1a max
Intercept	-1.02992724975291	-1.5200981985559334	-1.9613701783731818	-2.2681333562221937	0	0	0	0	0	0	0	0
TA	0.20815512533928876	0.1940069396033335	0.3400817028777184	0.21826801978636895	0	0	0	0	1	1	1	1
SPS	-0.00717408386251336	-0.0016873090481156735	-0.014403290816859876	0.0005941959964490612	0	0	0	0	1	1	1	1
SA	-0.010890260560065632	-0.0420400311018649	-0.02604817124330791	-0.0457912016170341	0	0	0	0	1	1	1	1
siRNA_1A	-0.012902747562703432	0.010967075021191276	0.02400870281413104	0.02130519096331459	0	0	0	0	1	1	1	1
siRNA_1C	0.007858641601119858	-0.010721243383541459	-0.019275375707708226	0.012479956099888308	0	0	0	0	1	1	1	1
siRNA_1G	0.0	0.0	0.0	0.0	0	0	0	0	1	1	1	1
siRNA_8A	0.007948077567530241	0.06963353811826895	0.021233289985681608	0.08361763190393967	0	0	0	0	1	1	1	1
siRNA_8C	0.02418105585317672	-0.12149756474404685	0.022425917970947368	-0.07626829544954636	0	0	0	0	1	1	1	1
siRNA_8G	0.009860258555260912	0.028582518124319608	0.017880816232614484	0.029620928126928906	0	0	0	0	1	1	1	1
site_8A	0.012786335049622543	0.0	0.01041476336281757	0.0	0	0	0	0	1	1	1	1
site_8G	-0.012770399914767245	0.0	0.002650953758269166	0.0	0	0	0	0	1	1	1	1
site_8C	0.003826383523877664	0.0	0.031207968170404363	0.0	0	0	0	0	1	1	1	1
Local_AU_score	-0.0542160950981342	-0.15851654068131193	-0.08585963925907637	-0.13541609641716534	0	0	0	0	1	1	1	1
Threep_score	-0.009505021974603216	-0.03394343209057157	-0.020420638314888	-0.02471695809102789	0	0	0	0	1	1	1	1
Min_dist_score	0.014823045235836054	0.034714570041825064	0.020210355306292137	0.050879034648485366	0	0	0	0	1	1	1	1
UTR_length_score	0.031208721719907483	0.1279787494979553	0.09940699016366827	0.18491938633441427	0	0	0	0	1	1	1	1
ORF_length	0.02632743925937423	0.0783438485719946	0.0688846907950683	0.17346121599641198	0	0	0	0	1	1	1	1
ORF_8mers	-0.036760151095621335	-0.025216001928414236	-0.044084396176789636	0.0208377228102228	0	0	0	0	1	1	1	1
Off6m_score	-0.035650686551961484	-0.07206139527605482	-0.045961280617703534	-0.08866700995935248	0	0	0	0	1	1	1	1
PCT	0.0	-0.21618384150453665	-0.12645576071411996	-0.2495680006136447	0	0	0	0	1	1	1	1
