Feature	6mer coeff	7mer-m8 coeff	7mer-1a coeff	8mer-1a coeff	6mer min	7mer-m8 min	7mer-1a min	8mer-1a min	6mer max	7mer-m8 max	7mer-1a max	8mer-1a max
Intercept	-1.028086013786214	-1.517939062472592	-1.9595898690692293	-2.2661863852694144	0	0	0	0	0	0	0	0
TA	0.20787087150918618	0.1936163159455069	0.33977699461221456	0.21801241771052077	0	0	0	0	1	1	1	1
SPS	-0.007169463397721801	-0.0016832278469031642	-0.014407490815116525	0.0005790102799941366	0	0	0	0	1	1	1	1
SA	-0.010899752048658985	-0.04204635589314144	-0.026050696030826288	-0.04578905069702044	0	0	0	0	1	1	1	1
siRNA_1A	-0.012921706163232053	0.010953321848671389	0.024057705397121994	0.02139770076918567	0	0	0	0	1	1	1	1
siRNA_1C	0.007811743573594048	-0.010755035156904501	-0.019285338315769583	0.012389748687293823	0	0	0	0	1	1	1	1
siRNA_1G	0.0	0.0	0.0	0.0	0	0	0	0	1	1	1	1
siRNA_8A	0.007951546572578697	0.06963333832143469	0.021236312800924893	0.08359086817945063	0	0	0	0	1	1	1	1
siRNA_8C	0.02408408392031633	-0.12158887271210933	0.022365272090812467	-0.07639692786703747	0	0	0	0	1	1	1	1
siRNA_8G	0.009805284694295004	0.028542504570324836	0.017790885381588746	0.02960186385869988	0	0	0	0	1	1	1	1
site_8A	0.012794207579833758	0.0	0.0104201719333509	0.0	0	0	0	0	1	1	1	1
site_8G	-0.012772504741674873	0.0	0.002630457570192414	0.0	0	0	0	0	1	1	1	1
site_8C	0.003802087489275485	0.0	0.03120171695980658	0.0	0	0	0	0	1	1	1	1
Local_AU_score	-0.05409877465856201	-0.15838649928136006	-0.08566055280400132	-0.13536562633186636	0	0	0	0	1	1	1	1
Threep_score	-0.009502499944422017	-0.033948527646410424	-0.02041243808155843	-0.024722010915030068	0	0	0	0	1	1	1	1
Min_dist_score	0.014823055799231502	0.03472374001066208	0.020167995348084014	0.050882743369760154	0	0	0	0	1	1	1	1
UTR_length_score	0.031106188101959805	0.12785431352294643	0.09934145228039247	0.18479882694364552	0	0	0	0	1	1	1	1
ORF_length	0.026288840525427085	0.07833952330011484	0.06885298597156872	0.1733592442897921	0	0	0	0	1	1	1	1
ORF_8mers	-0.036758460510929736	-0.02523442323078079	-0.044131932913311946	0.020808794269853954	0	0	0	0	1	1	1	1
Off6m_score	-0.035682007064433224	-0.07212789586890833	-0.0460714689448168	-0.08873654839019723	0	0	0	0	1	1	1	1
PCT	0.0	-0.21617085289922827	-0.1264538336084208	-0.24955633653178608	0	0	0	0	1	1	1	1
