"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX10942191","GSM5324635: let-7a-miR-155_purification1_0percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021323","","690.91","1","39237280","1569491200","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942190","GSM5324634: let-7a-miR-155_purification1_0.4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021322","","489.01","1","27767210","1110688400","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942189","GSM5324633: let-7a-miR-155_purification1_1.265percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021321","","323.59","1","18272866","730914640","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942188","GSM5324632: let-7a-miR-155_purification1_4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021320","","378.32","1","21429935","857197400","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942187","GSM5324631: let-7a-miR-155_purification1_12.65percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021319","","747.69","1","42332996","1693319840","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942186","GSM5324630: let-7a-miR-155_purification1_40percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021318","","611.37","1","34703681","1388147240","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942185","GSM5324629: let-7a-miR-155_purification1_inputlibrary; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021317","","1217.2","1","69398302","2775932080","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942184","GSM5324628: miR-155_purification_1_0percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021316","","294.31","1","20047778","801911120","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942183","GSM5324627: miR-155_purification_1_0.4percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021315","","272.57","1","18586212","743448480","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX10942182","GSM5324626: miR-155_purification_1_1.265percent; synthetic construct; ncRNA-Seq","synthetic construct","Illumina HiSeq 2500","GEO","SRP320549","MicroRNA 3'-compensatory pairing occurs through two binding modes, with affinity shaped by nucleotide identity and position [1]","SRS9021314","","263.62","1","17920139","716805560","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
