"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX7128991","GSM4156816: HeLa_miR-223_transfection_rep2_batch5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638335","","495.01","1","30895021","1235800840","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128990","GSM4156815: HeLa_miR-216b_transfection_rep2_batch5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638334","","583.58","1","36414238","1456569520","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128989","GSM4156814: HeLa_miR-153_transfection_rep2_batch5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638333","","508.76","1","31799545","1271981800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128988","GSM4156813: HeLa_miR-143_transfection_rep2_batch5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638332","","525.89","1","32907479","1316299160","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128987","GSM4156812: HeLa_miR-124_transfection_rep2_batch5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638331","","569.48","1","35638208","1425528320","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128986","GSM4156811: HeLa_miR-1_transfection_rep2_batch5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638330","","666.24","1","41742070","1669682800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128985","GSM4156810: HeLa_lsy-6_transfection_rep2_batch5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638329","","517.51","1","32281600","1291264000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128984","GSM4156809: HeLa_let-7a_transfection_rep2_batch5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638328","","480.12","1","29997397","1199895880","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128983","GSM4156808: HeLa_miR-182_transfection_rep2_batch4; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638327","","643.46","1","37673202","1506928080","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7128982","GSM4156807: HeLa_miR-155_transfection_rep2_batch4; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP234771","The biochemical basis of microRNA targeting efficacy [4]","SRS5638326","","526.32","1","30632783","1225311320","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
