Full	Mean	Lower_CI	Median	Upper_CI
8mer_Kd	0.0530187164938676	0.0536019737376855	0.0497336051367	0.0539015579994629	0.0566746319494288
7mer-m8_Kd	0.012628070942518	0.0128757169300128	0.0102651428257618	0.0128042121234365	0.0158428850582717
7mer-A1_Kd	0.0372625747547024	0.0380271219843155	0.0343423461147399	0.0378189435063501	0.0421141538486192
6mer_Kd	0.0404821696860269	0.040423696344948	0.0301146057394542	0.0408836514249026	0.0489861114561838
6mer-m8_Kd	0.303820279228593	0.299152768715558	0.199181207318934	0.304343096933714	0.432811871850185
6mer-A1_Kd	0.184864772194352	0.185262979552058	0.16809218081907	0.183583648627012	0.202746835631015
8mer-mmA7_Kd	0.143195139155341	0.143506235844018	0.134613745283091	0.143568807308577	0.15199485200075
8mer-mmC7_Kd	0.153545098270026	0.153264222999799	0.141327049273601	0.153411590862974	0.163293957517939
8mer-mmG7_Kd	0.261860036831258	0.262598349105385	0.246946391598113	0.259852397377162	0.27670723090426
8mer-mmC6_Kd	0.316983188611819	0.315367869298339	0.292676301029073	0.321432790632504	0.333869156964672
8mer-mmG6_Kd	0.336984280196605	0.335820662387416	0.31578869446272	0.337998269229211	0.35290182249331
8mer-mmT6_Kd	0.250643529044924	0.249652443745858	0.233072150520523	0.251936167196019	0.264883227662927
8mer-mmA5_Kd	0.484077768474488	0.484429898547427	0.457391804169712	0.486207498507701	0.501647717638181
8mer-mmG5_Kd	0.553155816573381	0.553822272249563	0.535866399199325	0.554538342617064	0.569984589617606
8mer-mmT5_Kd	0.384254704810331	0.383695569578066	0.367987822775888	0.385570506247519	0.401326382300578
8mer-mmA4_Kd	0.43970133364055	0.439619205732319	0.410784149010656	0.443016916065914	0.45851501274721
8mer-mmG4_Kd	1	1	1	1	1
8mer-mmT4_Kd	0.380343079855537	0.380399031985681	0.365807517077066	0.380229719388899	0.397662158713962
8mer-mmA3_Kd	0.37868311829776	0.379448492810816	0.353948755670632	0.381426477577373	0.395930630183202
8mer-mmC3_Kd	0.353866015806454	0.352052891522724	0.31511538514921	0.362625293492013	0.37572798652346
8mer-mmG3_Kd	0.486134063944872	0.487850503305547	0.465339159091911	0.489888130444328	0.503281215080806
8mer-mmA2_Kd	0.364994517327315	0.364193886023785	0.346924975835983	0.365484469016501	0.381464388490513
8mer-mmG2_Kd	0.325855408965997	0.326473814729811	0.310729575758319	0.326160943295995	0.340297694040139
8mer-mmT2_Kd	0.279773759488721	0.279507403256886	0.264737501712102	0.278945450464506	0.293720997416465
8mer|27|Supp_Kd	0.00216683128075772	0.00198181053377151	0.000725065916284321	0.00208844990855146	0.00405728665486273
8mer|25|Supp_Kd	0.0236801326837635	0.0221582034290901	0.00494928241301428	0.0226523168289733	0.0933062072764571
8mer|24|Supp_Kd	0.00855580286954252	0.00690689016072247	0.00189348289302984	0.007176990930503	0.0247130529364517
8mer|21|Supp_Kd	0.00694349156764266	0.0062766898458146	0.00247502654704385	0.0072701082121256	0.0165069953232952
8mer|19|Supp_Kd	0.00573317174137382	0.00503515572284047	0.00164542365884804	0.00553735445665288	0.0180657095686723
8mer|18|Supp_Kd	0.0117999194973821	0.011322638372563	0.00240128620422041	0.0120138695582379	0.0284223605924728
8mer|17|Supp_Kd	0.00696311627078909	0.00625030905123336	0.00211117033049375	0.00677151532808511	0.0163245904249982
8mer|16|Supp_Kd	0.00935292304137487	0.00884897104870121	0.00312120200020172	0.00986348125738387	0.0263668021868403
8mer|14|Supp_Kd	0.00488312222508132	0.00395665367392935	0.00146082258383465	0.00419095148616608	0.012035800949034
8mer|13|Supp_Kd	0.0103496221706312	0.00901173649192594	0.00326640216983925	0.00960694837964605	0.0284492101867938
8mer|11|Supp_Kd	0.0107876686459771	0.00953491586710646	0.00232686327449181	0.0109310477863826	0.0272300667387737
8mer|10|Supp_Kd	0.00801627314201201	0.00719586200109064	0.00216109514575829	0.00749566796308187	0.0240171860497162
8mer|8|Supp_Kd	0.0408270685683041	0.0341133847408516	0.0091534199846134	0.0353596392374438	0.157705103625414
