Full	Mean	Lower_CI	Median	Upper_CI
10mer-m10.19_Kd	0.0837906389238594	0.08319666939658	0.0710525301629297	0.0829066038052893	0.0989186988451242
10mer-m10.19|10|Comp_Kd	0.0648271231302308	0.0524599351331074	0.018328238038089	0.0561948951067184	0.177405712480935
10mer-m10.19|10|Offset_Kd	0.0237032911697566	0.0204713409275654	0.00547448531999832	0.0209819801300981	0.0831941978176636
10mer-m10.19|11|Offset_Kd	0.0082032322965446	0.00680231896522176	0.00149227152910385	0.0071923377213361	0.0258175213043706
10mer-m10.19|12|Comp_Kd	0.0126324868844718	0.0101903392404367	0.00252092407179518	0.0101224558524691	0.0440156197771505
10mer-m10.19|14|Supp_Kd	0.00587816745735161	0.00503512895852357	0.00119095511505472	0.00528138435673808	0.0228141190676136
10mer-m10.19|19|Offset_Kd	0.0494952056616235	0.0419336798958663	0.0130358881521262	0.0453141823687274	0.137190387584012
10mer-m10.19|22|Comp_Kd	0.0631796644534407	0.0469040034856399	0.0146324246555826	0.04694422107674	0.136934076457304
10mer-m10.19|9|Offset_Kd	0.0266036244686933	0.0248335066769711	0.00747097664485094	0.0257766015752229	0.0989253959419955
10mer-m11.20_Kd	0.0667400299589149	0.0658536282315287	0.0529214480650817	0.0675554483462586	0.077308321069064
10mer-m11.20|10|Comp_Kd	0.0350173064231622	0.0315117894906358	0.00782170026449707	0.0309093582576478	0.120654882800509
10mer-m11.20|11|Comp_Kd	0.0277461433731617	0.0252067393757612	0.00552028056555294	0.0265792750041503	0.0759682460368583
10mer-m11.20|11|Offset_Kd	0.00929976321970379	0.00781492272500933	0.00248349890847131	0.00815388692055847	0.0274037140808466
10mer-m11.20|12|Comp_Kd	0.00908048880788891	0.00774062283133522	0.00248374404484765	0.00741402159659276	0.0260756690224618
10mer-m11.20|12|Supp_Kd	0.00353065856890957	0.00269535737704952	0.000354723219347864	0.00285630052864103	0.0110592395662285
10mer-m11.20|14|Comp_Kd	0.0115387158948742	0.00980833134310006	0.00224945793244467	0.0101003904794913	0.0287140064544173
10mer-m11.20|14|Supp_Kd	0.0012525871116926	0.00102161238331049	0.000221255661144963	0.00105765974596975	0.00582134107658092
10mer-m11.20|16|Comp_Kd	0.00552088879951113	0.00467753713597396	0.000910144798330503	0.0044849130715671	0.0335860788023653
10mer-m11.20|17|Supp_Kd	0.00443666009350382	0.00376152229914289	0.000882737127207967	0.00401729484438957	0.0166004792013964
10mer-m11.20|19|Supp_Kd	0.00748055164649877	0.00651492017755294	0.00126728330203165	0.00695150935121308	0.036297767550755
10mer-m11.20|20|Supp_Kd	0.00768061749591115	0.00588697555239461	0.00109459965555822	0.00669663584865729	0.0225295644244842
10mer-m11.20|22|Supp_Kd	0.0118360186230756	0.0102940651532339	0.00267091259794095	0.0105108334365398	0.0492326087700208
10mer-m11.20|23|Comp_Kd	0.0209477197392639	0.0188003162619412	0.00646706627657783	0.0185445773207964	0.0597409928588056
10mer-m11.20|25|Comp_Kd	0.0630528490638806	0.0506827790786804	0.0188552998217335	0.0499822739111318	0.179009694868297
10mer-m11.20|25|Supp_Kd	0.0120896800119069	0.0100925432712756	0.00218714826483422	0.0105774433918143	0.0472940263786024
10mer-m11.20|26|Supp_Kd	0.0141559484273271	0.0138413353015183	0.0038681471090833	0.0130492094535071	0.0691228982152182
10mer-m11.20|9|Comp_Kd	0.0424199194318534	0.0371164968277652	0.00928264938580509	0.0410986344677635	0.111163712650298
10mer-m11.20|9|Offset_Kd	0.0196761802199873	0.0170928472488636	0.00576148472494173	0.0176549438555819	0.0550878412251841
10mer-m12.21_Kd	0.196799277778178	0.195891617440854	0.162502589891427	0.194343958794799	0.236965973303344
10mer-m12.21|10|Supp_Kd	0.0190814685013679	0.0162094901996835	0.00408976470162749	0.0164760193712717	0.072673493490987
10mer-m12.21|11|Offset_Kd	0.0354503704576076	0.0297868376991099	0.00565645388660817	0.0309583136081418	0.132263713195699
10mer-m12.21|12|Offset_Kd	0.0403754437209578	0.0320143726371773	0.010091393036115	0.0318324864409421	0.0999584655761839
10mer-m12.21|14|Offset_Kd	0.0270426281392102	0.023905468129086	0.00782239116108503	0.0254305787261852	0.0926672772277824
10mer-m12.21|15|Offset_Kd	0.0432169032342923	0.0357563887313788	0.00597074435448143	0.0343676793119473	0.142473758115518
10mer-m12.21|18|Supp_Kd	0.0126478551443683	0.00996552704259348	0.00198084068926311	0.00938414265963964	0.0556404064820783
10mer-m12.21|24|Offset_Kd	0.0280215033475301	0.023571107469494	0.00606910619769826	0.0251779233807436	0.100423276210244
10mer-m12.21|25|Supp_Kd	0.0502977623657388	0.0411515664604099	0.0113949892604092	0.0418182082791282	0.141221061482659
10mer-m12.21|30|Offset_Kd	0.0658106808020993	0.0496570324946077	0.0117741056047481	0.0458637871230536	0.143969163629416
10mer-m13.22_Kd	0.375584556917446	0.376199404091118	0.304538846683461	0.377105696411836	0.445448720029887
10mer-m13.22|10|Supp_Kd	0.0088602526077229	0.00768014846452089	0.00171490897325069	0.00780804969016436	0.0293323977445606
10mer-m13.22|11|Supp_Kd	0.00878419342218863	0.00720566487157974	0.00187779870964353	0.0074569938985765	0.0247591880208281
10mer-m13.22|12|Comp_Kd	0.0928400854170916	0.0813074029556915	0.0147134124796801	0.0929882583671961	0.28277263745932
10mer-m13.22|12|Supp_Kd	0.00943575589095611	0.00853294001724054	0.00266467783173942	0.00904400902096993	0.026449368412454
10mer-m13.22|13|Supp_Kd	0.00838056499044998	0.00731002195432599	0.00191059020252186	0.00703466255248934	0.0284314934229625
10mer-m13.22|18|Offset_Kd	0.0403770000199045	0.0349418861051392	0.00993996324417332	0.0344607276121299	0.120240555696866
10mer-m13.22|18|Supp_Kd	0.0272708995055691	0.0253305507544541	0.00574463810295234	0.0242386021255239	0.108097077026514
10mer-m13.22|19|Supp_Kd	0.026387594097123	0.0234629925357633	0.00419041141555271	0.0234371513748963	0.10245294285403
10mer-m13.22|20|Supp_Kd	0.0186251186142905	0.0167398762495079	0.00479762416237223	0.0176779879432792	0.0653559997838904
10mer-m13.22|21|Comp_Kd	0.0354211604845482	0.0283764395936524	0.00931878739958197	0.0306001934643255	0.0983928112610898
10mer-m13.22|22|Supp_Kd	0.029137912929182	0.0273672636007037	0.0056577020524159	0.0285213624036542	0.128836753953128
10mer-m13.22|24|Offset_Kd	0.0482551231929569	0.0430802468443702	0.0112881677874084	0.0463227674409824	0.137924660097644
10mer-m13.22|7|Offset_Kd	0.0210548557261764	0.018844378242925	0.00411144113755444	0.0181328743261506	0.0856028998730359
10mer-m13.22|9|Comp_Kd	0.0272484624404022	0.0252198542821103	0.00476642735302862	0.0257992762722937	0.123576874546812
10mer-m13.22|9|Offset_Kd	0.0291134121451259	0.0272837267049286	0.00636942209696215	0.0292222948705976	0.100512878312203
10mer-m9.18_Kd	0.126046706930359	0.124769162117653	0.0982851525259331	0.127795340883899	0.14698411375801
10mer-m9.18|10|Offset_Kd	0.010003087773621	0.0079051544362104	0.00178434880724507	0.0076310772830193	0.0385186487706076
10mer-m9.18|11|Offset_Kd	0.00405573122623446	0.00340828218379823	0.000754711282137572	0.00370338963367873	0.0126943645745671
10mer-m9.18|16|Comp_Kd	0.0250175390756954	0.0209484665101534	0.00374916180016238	0.0227739462435408	0.0744352463645902
10mer-m9.18|18|Comp_Kd	0.0811938148046148	0.0603760781641996	0.012633029528605	0.0614667888789971	0.19103404798601
10mer-m9.18|18|Supp_Kd	0.0078992127396307	0.00711817361318286	0.00149591760405346	0.00718397243359723	0.0274065039810314
10mer-m9.18|19|Comp_Kd	0.0564657238397946	0.0460534536348998	0.00771146895204426	0.0497642620987942	0.176036241299435
10mer-m9.18|19|Offset_Kd	0.0369445091380714	0.0311796553593317	0.010909803801316	0.0315513335842696	0.0977538984349462
10mer-m9.18|22|Comp_Kd	0.0498788240384737	0.0391208705740371	0.00843050411491378	0.0400086103622061	0.137391960076259
10mer-m9.18|23|Supp_Kd	0.0174218610157513	0.0165928705688361	0.00478194566451586	0.0161542177933374	0.067294701924096
10mer-m9.18|25|Supp_Kd	0.0359460548580385	0.0312278595836659	0.00724179740056221	0.0308462585965968	0.144211635403714
10mer-m9.18|26|Supp_Kd	0.0641843198367552	0.0518125342244987	0.014662666152918	0.0576451917688656	0.198913957150187
10mer-m9.18|28|Comp_Kd	0.0628552506791996	0.0525785322344878	0.0174797990101402	0.05598607307748	0.171232080311083
10mer-m9.18|29|Offset_Kd	0.0504421914485013	0.0407862643992008	0.0108198268925492	0.0407086838824946	0.133458544537343
