Full	Mean	Lower_CI	Median	Upper_CI
8mer_Kd	0.26242474169519	0.262142897978565	0.216126074378354	0.256154511255455	0.344878605479242
7mer-m8_Kd	0.110416883250281	0.111962561140053	0.0696193245268187	0.104868001687557	0.218078522837635
7mer-A1_Kd	0.22369094812205	0.223179726902002	0.160216520075003	0.224092557008201	0.30914712101358
6mer_Kd	0.229729326164522	0.231439882365939	0.142652949077081	0.216885290796591	0.459002978100209
6mer-m8_Kd	0.530001085180038	0.522791177563167	0.454931029337777	0.521197275939084	0.615399269071055
6mer-A1_Kd	0.338262672071796	0.334481163821765	0.289119568468975	0.328849974725843	0.418553046714131
8mer-mmA7_Kd	0.492107957899947	0.487548710786278	0.454121658845338	0.482475266219187	0.525957851815469
8mer-mmC7_Kd	0.370348244526076	0.366212693424521	0.336263924756782	0.36200871904065	0.404255022549799
8mer-mmG7_Kd	0.724594142065699	0.720288565397517	0.685776958865782	0.716777958592183	0.763568196680946
8mer-mmC6_Kd	0.496837778285431	0.491100545332743	0.471590508958389	0.484621276756311	0.519954463884468
8mer-mmG6_Kd	0.70914520160336	0.702964621092181	0.676987269395667	0.706296827843333	0.727284795050891
8mer-mmT6_Kd	0.431382165010088	0.426351049854577	0.397519965603637	0.42266334654623	0.463044476074585
8mer-mmA5_Kd	0.663695470286793	0.658086425324232	0.636955041418031	0.660599974565325	0.678973680552079
8mer-mmG5_Kd	0.809456753830022	0.805421667930868	0.787979277189703	0.806636709488384	0.823841002345909
8mer-mmT5_Kd	0.591977357972764	0.587020110630867	0.5576133492427	0.585228285334576	0.613477935096205
8mer-mmA4_Kd	0.557605305550226	0.552273322832563	0.527025760786715	0.55275591258059	0.573468741670067
8mer-mmG4_Kd	1	1	1	1	1
8mer-mmT4_Kd	0.602185425669005	0.596705440630487	0.572908814752128	0.598032473241797	0.615889543452591
8mer-mmA3_Kd	0.518206353272475	0.512618547679597	0.484606161411732	0.512465819519732	0.5434623001674
8mer-mmC3_Kd	0.531788688608345	0.525246686360998	0.491947089191957	0.533369768716814	0.560498379024584
8mer-mmG3_Kd	0.649954493279995	0.645160738644654	0.613841342416563	0.643256254110072	0.680385758978592
8mer-mmA2_Kd	0.600783785425216	0.59506138641388	0.571153035504689	0.597699551842284	0.616551899487716
8mer-mmG2_Kd	0.676593944063372	0.671901994085107	0.648791522346297	0.672544121539512	0.689439014059865
8mer-mmT2_Kd	0.549087425584536	0.543507183958072	0.518491680529997	0.545993268427813	0.562435785346246
8mer|27|8mer_Kd	0.0154394418800674	0.0145550359816738	0.0030912551557451	0.0143338381274075	0.0364661651720096
8mer|24|8mer_Kd	0.0581521937461527	0.0572831022488226	0.0188099681792823	0.0538035316050313	0.263809840337317
8mer|22|8mer_Kd	0.0921566367359188	0.086938443348348	0.0331013837303171	0.08846026203418	0.232623686177119
8mer|18|8mer_Kd	0.0707066529746446	0.0647555156291745	0.014755264534721	0.0662236067120136	0.253117632862793
8mer|15|8mer_Kd	0.0686375507312508	0.0624115836738245	0.0221111122203353	0.0608259566182799	0.19973853188572
8mer|14|8mer_Kd	0.106762277590879	0.0952158067515609	0.0329921871734223	0.094274957248631	0.314866141494594
8mer|13|8mer_Kd	0.0731974672766923	0.0646444131256821	0.0237906422666855	0.0606551352032563	0.264574700857251
8mer|10|8mer_Kd	0.101294272797212	0.0932216617661793	0.0349493801963962	0.0909358386625509	0.295200211981521
8mer|9|8mer_Kd	0.0424545345210055	0.0394258947745393	0.0138811664397261	0.0396782412306295	0.112668110567934
7mer-m8|28|8mer_Kd	0.0180653573851338	0.0165075275068949	0.00729959148259937	0.0166945086875745	0.0403111834572633
7mer-m8|25|8mer_Kd	0.0512868760843294	0.0462452087332773	0.0175415323369046	0.044751634367753	0.131792089289763
7mer-m8|24|8mer_Kd	0.0483499550924048	0.0418761691523915	0.0162914203591888	0.041178052516905	0.128057160431472
7mer-m8|23|8mer_Kd	0.0322013756452992	0.0300128996520612	0.0114707503861081	0.0296483539692501	0.0911106810346893
7mer-m8|22|8mer_Kd	0.0971354269347883	0.0875480561229702	0.0240076689699553	0.0913760589822182	0.274852531377964
7mer-m8|21|8mer_Kd	0.0853448746704768	0.0801519933771314	0.0220856263399711	0.080885768218416	0.211178496533313
7mer-m8|20|8mer_Kd	0.071530525269901	0.0672777952762744	0.0153224181532848	0.070555541794777	0.155658463856996
7mer-m8|19|8mer_Kd	0.142193336191402	0.139155101288875	0.0447860098218672	0.135908560977287	0.352698287528631
7mer-m8|18|8mer_Kd	0.0571854608344925	0.0523443135191897	0.0181780166715801	0.0531709574171679	0.151099423359965
7mer-m8|17|8mer_Kd	0.0971098013804242	0.0994623624148604	0.0215061887602171	0.0971266305656518	0.560786782243427
7mer-m8|15|8mer_Kd	0.0622018908654959	0.0541801922424271	0.0188438363107519	0.0577977732710188	0.150141498706863
7mer-m8|14|8mer_Kd	0.0683035267943202	0.0685004418543572	0.0170814582569392	0.0680561139069811	0.247820393266853
7mer-m8|13|8mer_Kd	0.0824212879703103	0.0804870309506093	0.0215409483917598	0.0810521631576143	0.392945109741542
7mer-m8|12|8mer_Kd	0.0491277808472351	0.0431542360916457	0.0161787291523218	0.042998983861421	0.131765523842946
7mer-m8|11|8mer_Kd	0.0840987658482572	0.0733614331063598	0.0262136079268407	0.0734501051200266	0.245736373115744
7mer-m8|9|8mer_Kd	0.0964611885464346	0.0936522309735114	0.019550439258509	0.0957443363258345	0.303275194046555
