Full	Mean	Lower_CI	Median	Upper_CI
8mer_Kd	0.0445037284506921	0.0277393337384579	0.00186282309780348	0.0459157314555681	0.0552318383826599
7mer-m8_Kd	0.00360503232375827	0.00237551946740407	0.000110081087264815	0.00343342881665412	0.0109591288643736
7mer-A1_Kd	0.00956559941822876	0.00606404643904157	0.00035698025496094	0.00955257761400671	0.0188496193991245
6mer_Kd	0.0196359538627882	0.012471731030681	0.00119301039631618	0.0198351825336707	0.0255221224076104
6mer-m8_Kd	0.148107775051526	0.0920027235196235	0.00543112152929322	0.151849786346705	0.258004724220973
6mer-A1_Kd	0.0840645448020625	0.0529681641979199	0.00421353557872485	0.0871109400357622	0.10126514759165
8mer-mmA7_Kd	0.107653978981625	0.0687224206885329	0.00583880703987139	0.110636778951903	0.12421716905464
8mer-mmC7_Kd	0.106617096307152	0.0675698813884553	0.00546488408157613	0.110571730314521	0.124980767555668
8mer-mmG7_Kd	0.166421153471619	0.109626343918104	0.0111450398243147	0.169072398718304	0.186624993016019
8mer-mmC6_Kd	0.274364233358457	0.173152987535696	0.0135572112488645	0.287075175444686	0.327766310712926
8mer-mmG6_Kd	0.24662425728659	0.160452160350018	0.0150601031646074	0.253417325331183	0.283343513134133
8mer-mmT6_Kd	0.193638304974657	0.122796973050377	0.00998871029372055	0.201552859221535	0.229115594950583
8mer-mmA5_Kd	0.407832479011004	0.272992253808079	0.0297912535681219	0.416886521437233	0.458920195435923
8mer-mmG5_Kd	0.376673079712737	0.261698303006956	0.0346572122888346	0.383467422239135	0.417048939176957
8mer-mmT5_Kd	0.28251668143326	0.185198957609894	0.0183014181253312	0.289916372203653	0.322711247264895
8mer-mmA4_Kd	0.387482958309223	0.253455439482645	0.0243104396828608	0.399432904445779	0.443262785997074
8mer-mmG4_Kd	1	1	1	1	1
8mer-mmT4_Kd	0.270863571781811	0.177556784531074	0.0174244704350751	0.277989194203043	0.309022011092107
8mer-mmA3_Kd	0.332492521793761	0.214884450897133	0.019395250248297	0.343525972554605	0.383889215218468
8mer-mmC3_Kd	0.319829128981549	0.200381074403374	0.0149178970026081	0.337045352254547	0.381311488399066
8mer-mmG3_Kd	0.390589771900266	0.26473901065803	0.0305466694091479	0.399763790571124	0.43381284383766
8mer-mmA2_Kd	0.262518990212737	0.171693130131149	0.0164496211342487	0.269683159411151	0.299898035105671
8mer-mmG2_Kd	0.184258637558653	0.121985166209511	0.0128251899826623	0.188021236688899	0.206591505172739
8mer-mmT2_Kd	0.181716357716459	0.117148152250911	0.0104925361403776	0.186831808878007	0.209831185498788
8mer|27|Supp_Kd	0.000959738647330334	0.000586186865350886	3.83907550022882e-05	0.000882682038814084	0.00192653229022425
8mer|26|Supp_Kd	0.00140520714729583	0.000739623456615934	3.95746894784003e-05	0.000976410909469509	0.0031233514310818
8mer|25|Supp_Kd	0.00524604642384766	0.00289989787948908	0.000154882291244131	0.00444371088389587	0.0121662489173775
8mer|24|Supp_Kd	0.00361404308638619	0.00203088049289662	8.02503341207758e-05	0.00302393358869678	0.00853913980905882
8mer|23|Supp_Kd	0.00362776653200356	0.00209267451460081	0.000113471608559071	0.00322924089519154	0.00858108148999226
8mer|22|Supp_Kd	0.00479877986991693	0.00277363968813145	0.000202135994629118	0.00428718153623672	0.0106195997951781
