Full	Mean	Lower_CI	Median	Upper_CI
8mer_Kd	0.0825998858201458	0.085441626892026	0.0702437337755612	0.0864041457875321	0.110848107606375
7mer-m8_Kd	0.0181046947181135	0.0187380885651996	0.0136904697220671	0.0180455895621146	0.0287590503286448
7mer-A1_Kd	0.0278811639935748	0.0293833699561056	0.0212308522590385	0.0273323334748284	0.0511892739936823
6mer_Kd	0.0363939529899167	0.0378167480836037	0.0271143127381596	0.0347422706956173	0.0696770634064718
6mer-m8_Kd	0.176463283659616	0.19129976688288	0.120077892039905	0.170424000289256	0.429349373924836
6mer-A1_Kd	0.128646439522736	0.134284090896138	0.0982632128929377	0.129620332395348	0.210079856140436
8mer-mmA7_Kd	0.178931850566334	0.184632503634383	0.147965286802858	0.180640030574142	0.252475975623703
8mer-mmC7_Kd	0.171652344313983	0.175848210135877	0.139925077060162	0.176577740247034	0.225906281236039
8mer-mmG7_Kd	0.286607251049657	0.296226004109901	0.243012250623617	0.284375624230331	0.413409898528344
8mer-mmC6_Kd	0.333293007522325	0.33472441270871	0.2855271768274	0.346555877898452	0.362190898916178
8mer-mmG6_Kd	0.350704800958539	0.356433970341457	0.299799304570355	0.358428316301987	0.430340618275615
8mer-mmT6_Kd	0.262206279672431	0.265966687394697	0.218544853916777	0.273667961364905	0.311385283832537
8mer-mmA5_Kd	0.503225553436093	0.506940579969742	0.455550888409838	0.519332191627611	0.548892575916616
8mer-mmG5_Kd	0.551346932947103	0.556625955004864	0.498454862012855	0.562690719222555	0.625563665033772
8mer-mmT5_Kd	0.383611367849561	0.388911023992839	0.334610225495621	0.394549515446365	0.45118780032947
8mer-mmA4_Kd	0.472527961699414	0.474739559889333	0.427168542772073	0.490982279872555	0.500963345542776
8mer-mmG4_Kd	1	1	1	1	1
8mer-mmT4_Kd	0.389802965004963	0.394951722954889	0.340611664959947	0.400535841108177	0.457032763922398
8mer-mmA3_Kd	0.418761943006503	0.421267763843319	0.37069219713801	0.438491773029913	0.449567334257876
8mer-mmC3_Kd	0.384324293063851	0.383106924499645	0.332787052965278	0.382990201040126	0.423248010092528
8mer-mmG3_Kd	0.508662600039112	0.513586884669605	0.455603278048651	0.520261547929176	0.576415453980239
8mer-mmA2_Kd	0.385690851493123	0.39045815794105	0.336473451026822	0.396886500025033	0.447996170030001
8mer-mmG2_Kd	0.333598495434989	0.342428138322382	0.285557914774022	0.333811383819472	0.449219273124499
8mer-mmT2_Kd	0.291779118881864	0.297330794067129	0.246911877433544	0.299712890195548	0.363246781995248
8mer|27|Supp_Kd	0.00169330170840934	0.00157284333502589	0.00049591625421846	0.00160908950064567	0.00345420555630213
8mer|26|Supp_Kd	0.00548225731172591	0.00489584951407769	0.00128412938245087	0.00524498639197028	0.013383305102578
8mer|25|Supp_Kd	0.00683653793479932	0.00664336309930665	0.00175375093773275	0.0067944526668019	0.0196175562612947
8mer|24|Supp_Kd	0.00498190822067754	0.00456993758455087	0.00115207460090574	0.00488281091343256	0.0130557962761911
8mer|23|Supp_Kd	0.00413904756392502	0.00407760079003192	0.00107985566347872	0.00435541738027911	0.0111820931271525
8mer|22|Supp_Kd	0.00863264225442428	0.0086303917556502	0.00245839221374292	0.00878566863346492	0.0215643885142558
8mer|21|Supp_Kd	0.00439295970315744	0.00398976491251728	0.00118388201159602	0.00429071479344641	0.0101873926798481
8mer|20|Supp_Kd	0.00891293164844449	0.0088571241076967	0.00311413388864654	0.00936475214989374	0.0196907620270509
8mer|19|Supp_Kd	0.00425038024794655	0.00394476564220013	0.00108180531057125	0.00409633395730372	0.010566897439521
8mer|18|Supp_Kd	0.00575206247082221	0.00561732804529403	0.00174287614435671	0.00597317369844025	0.0139550345081736
8mer|17|Supp_Kd	0.00473494892375252	0.00436275443597179	0.00120157993594582	0.00472703427944481	0.0123118262753172
