Full	Mean	Lower_CI	Median	Upper_CI
10mer-m10.19_Kd	0.203521576783305	0.204113730234462	0.175593060162173	0.20367071295197	0.23633661989749
10mer-m10.19|13|Offset_Kd	0.0480344016203958	0.0432993385747111	0.014982915787905	0.0426591963386521	0.186417456015466
10mer-m10.19|13|Supp_Kd	0.0203711411448251	0.0174064066721088	0.00651531457640029	0.0190319690892647	0.0586696706578815
10mer-m10.19|15|Supp_Kd	0.0203528052263779	0.01667346509261	0.00423533033697311	0.0169940370565283	0.0525400233467161
10mer-m10.19|23|Comp_Kd	0.154699020914566	0.135099379003785	0.0431563598096369	0.139177295068191	0.429795046769895
10mer-m10.19|8|Supp_Kd	0.074303714468655	0.0736033458248843	0.0232442509254182	0.0764183187352173	0.311594763048289
10mer-m10.19|9|Offset_Kd	0.0318768399146293	0.0270034862889166	0.00387093433514209	0.0256814929901745	0.205632410642375
10mer-m11.20_Kd	0.162292367503421	0.164005076265573	0.14119732176856	0.163852608538319	0.190437479097536
10mer-m11.20|10|Offset_Kd	0.0314820088059514	0.0302250036842519	0.00936341542094526	0.0300500039329597	0.172289832558858
10mer-m11.20|12|Comp_Kd	0.0709668608345837	0.0619537283797884	0.0231676799371906	0.0625844675128716	0.229208883663341
10mer-m11.20|12|Supp_Kd	0.0636472389657755	0.0612968820973819	0.0191646940192565	0.0652104691550779	0.240795428116342
10mer-m11.20|13|Comp_Kd	0.0802454330372561	0.072317309770424	0.0185015436116607	0.0751235027100477	0.214610008849228
10mer-m11.20|13|Supp_Kd	0.0775555072260036	0.0712510582340272	0.0188113029623305	0.0753991787198752	0.335503769110393
10mer-m11.20|17|Offset_Kd	0.114635435283775	0.110622693774413	0.0334164336072019	0.111240020982294	0.35070092067407
10mer-m11.20|18|Offset_Kd	0.0738848181297185	0.0712859733297051	0.0232678154186029	0.0725165503493361	0.212214516812554
10mer-m12.21_Kd	0.358600605641801	0.357022309632115	0.316755425620614	0.358132273403741	0.401712007834646
10mer-m12.21|13|Offset_Kd	0.081417805103163	0.0701494145297306	0.0178291568910713	0.078831668821928	0.1907584098441
10mer-m12.21|16|Comp_Kd	0.189824786006292	0.159914979335693	0.0552947949138	0.161931293168369	0.431115056885938
10mer-m12.21|16|Offset_Kd	0.18721619001771	0.171162869158233	0.0514956446651383	0.192214311648595	0.569257605384605
10mer-m12.21|9|Comp_Kd	0.0910875702821876	0.0855024757760458	0.0207392940407265	0.0946632828474995	0.283481471835195
10mer-m13.22_Kd	0.300838289681094	0.302164463602324	0.274531207891008	0.30122870990617	0.333493235572692
10mer-m13.22|11|Comp_Kd	0.0266774629583985	0.0229980988483353	0.00761309648498532	0.0237774540193492	0.0753257605648608
10mer-m13.22|13|Supp_Kd	0.0087702276665918	0.00743121953612507	0.0023876173512022	0.00776151533247065	0.0236817360969664
10mer-m13.22|16|Comp_Kd	0.0823144424744542	0.0785061489459096	0.0279770250026551	0.0785755342127095	0.262213147431039
10mer-m13.22|18|Comp_Kd	0.101055278690702	0.0913233315370607	0.0224256293284086	0.0906071649983007	0.373912475715866
10mer-m13.22|18|Offset_Kd	0.0414559606664101	0.0386279753478826	0.00863764427776008	0.0380227790727232	0.126790354712945
10mer-m13.22|21|Offset_Kd	0.10708508656649	0.0926297428582464	0.0322673718066264	0.0893935204575463	0.311864083854465
10mer-m13.22|22|Comp_Kd	0.0540817328779681	0.0573875001900018	0.0141694039753838	0.0552375160151136	0.313819826796747
10mer-m13.22|25|Supp_Kd	0.152765565040969	0.140025217260509	0.0412335922826771	0.138939170436461	0.440427957633036
10mer-m13.22|29|Supp_Kd	0.154518462518384	0.15077371371451	0.05142463311605	0.142275464874606	0.442897196288347
10mer-m13.22|30|Offset_Kd	0.298533702812734	0.262475332644314	0.063993046701134	0.273343648058582	0.791247995834345
10mer-m13.22|8|Supp_Kd	0.106615456520835	0.101843770940751	0.0270196873430543	0.0977233564590794	0.337072851873106
10mer-m13.22|9|Supp_Kd	0.0421762672292868	0.0362408477254114	0.0133774683927305	0.0385311557458032	0.113734396017199
10mer-m9.18_Kd	0.0860501255517894	0.0861504142831018	0.0759426898822343	0.0861557589140628	0.0978038590224857
10mer-m9.18|10|Offset_Kd	0.153891599732481	0.135927351733963	0.0379884938026674	0.127153372564041	0.434964421104486
10mer-m9.18|12|Comp_Kd	0.0104509369107259	0.00920017939946712	0.00241420521689548	0.010045698545784	0.0274677538609414
10mer-m9.18|14|Supp_Kd	0.00562201138260684	0.00477344900316687	0.00142194692318914	0.00541533293375943	0.0158676056902359
10mer-m9.18|17|Offset_Kd	0.188088776935627	0.157546310422599	0.057375507502359	0.141236929300894	0.568147943017493
10mer-m9.18|18|Supp_Kd	0.0830463765194746	0.0756961879689053	0.0236782366398948	0.0742324883087258	0.246001891777361
10mer-m9.18|20|Supp_Kd	0.117079800185899	0.11365952223976	0.0264541949531743	0.121410398418247	0.395592361361484
10mer-m9.18|8|Supp_Kd	0.0639387339042824	0.0607219561331701	0.020941834559128	0.0612139947494823	0.178785775151802
