Full	Mean	Lower_CI	Median	Upper_CI
8mer_Kd	0.132095748351576	0.132199236069013	0.103867707402021	0.136444441475253	0.155578855865339
7mer-m8_Kd	0.0491834579261	0.0487196760051499	0.0386443932970484	0.0493208992363295	0.0580110309524796
7mer-A1_Kd	0.0923247985815376	0.0917028765214123	0.0576080174914339	0.0931533415588716	0.140924551036285
6mer_Kd	0.00312957001972952	0.0034052422894719	0.00137225544131191	0.00338913499028402	0.00983736401202574
6mer-m8_Kd	0.551911399322604	0.55150185456824	0.517752376392222	0.553638875404403	0.580699213657828
6mer-A1_Kd	0.36129175821447	0.356917643944596	0.287930815105484	0.368701342622933	0.39758980085327
8mer-mmA7_Kd	0.335160394215373	0.333353599845592	0.296382363739345	0.336425151519737	0.353039730941211
8mer-mmC7_Kd	0.416772320362433	0.410645161261966	0.316328986026016	0.426811920460575	0.471783202105867
8mer-mmT7_Kd	0.468444736994792	0.462745060713819	0.380862417196244	0.47491054011457	0.513737552112147
8mer-mmA6_Kd	0.70251011170893	0.694415602033771	0.598078095987782	0.70990233360568	0.753037988763615
8mer-mmG6_Kd	1.0134741687276	1.01162740251203	0.982723496904984	1.01587650242074	1.02715826305112
8mer-mmT6_Kd	0.25864322789275	0.257915301325641	0.235536697316017	0.262148782725429	0.268413377834293
8mer-mmC5_Kd	0.412701368573899	0.407092590133266	0.323677385623552	0.420717328695045	0.459474418047242
8mer-mmG5_Kd	0.572880324867806	0.568933274631892	0.511402726835317	0.576322104541929	0.598040057260447
8mer-mmT5_Kd	0.207223730305743	0.206705332449912	0.18677938073451	0.212264731478214	0.215304364103665
8mer-mmA4_Kd	0.456507513927636	0.452078754676128	0.386559889302774	0.460975680774081	0.487132660355755
8mer-mmC4_Kd	0.522432340788821	0.516136472783136	0.431485591250706	0.528336473888818	0.564290013250592
8mer-mmG4_Kd	0.706498103279608	0.70302877207522	0.65511435322	0.713735124399055	0.721636226813088
8mer-mmA3_Kd	0.774679721304939	0.766371409409274	0.672473363718748	0.781718674657774	0.818574167106869
8mer-mmC3_Kd	0.861557448437438	0.852008705863013	0.75192966469826	0.869570374257498	0.906451618257436
8mer-mmG3_Kd	0.940568231784367	0.936876473930592	0.890232659977966	0.945535942813095	0.955599379673121
8mer-mmC2_Kd	0.561912420843998	0.557432268092908	0.493472389826828	0.565240836930747	0.590904836925429
8mer-mmG2_Kd	1	1	1	1	1
8mer-mmT2_Kd	0.471084665884699	0.467932131007722	0.416171476914578	0.472877341394796	0.496054847435476
8mer|26|8mer_Kd	0.00809422832504525	0.00723263606772989	0.00200323753240847	0.00751942681810089	0.0193933197698712
8mer|25|8mer_Kd	0.00716532684985094	0.00598211877928529	0.00159314210284181	0.00661900161253802	0.0183199816933864
8mer|24|8mer_Kd	0.0138826925339141	0.0129467352816501	0.00416753761802616	0.0133047003848777	0.031964766129141
8mer|23|8mer_Kd	0.0142808775544165	0.0121078131170958	0.00357119587195065	0.0127993664916058	0.0288482256545435
8mer|22|8mer_Kd	0.00889416057312859	0.00784765950498758	0.00191643259187495	0.00827952369191333	0.0207160905736111
8mer|21|8mer_Kd	0.00414981767457988	0.00376525556098487	0.00082724563716142	0.00401041516364734	0.0108160321697236
8mer|20|8mer_Kd	0.0166327100152621	0.0158008506210889	0.00482127248539935	0.0162480995700784	0.0439930239969608
8mer|19|8mer_Kd	0.00718004389656107	0.00615420086515187	0.0016327645383498	0.00648507145242571	0.0193358380713645
8mer|18|8mer_Kd	0.0100574853029257	0.00867253238501528	0.00180862794350944	0.00922935585703257	0.0222408864648806
8mer|17|8mer_Kd	0.00807684929567026	0.00687025320117752	0.00195043363008695	0.00719609674167034	0.0220709928699338
