Full	Mean	Lower_CI	Median	Upper_CI
10mer-m10.19_Kd	0.341899002812542	0.341849645896578	0.27154711115507	0.338631329648702	0.431357893862323
10mer-m10.19|10|Comp_Kd	0.0337536383011866	0.0294133111807538	0.0105215687908947	0.0269384030560073	0.121210566202804
10mer-m10.19|10|Offset_Kd	0.0540774615994264	0.0429028516023576	0.0156785379216636	0.0433286570419747	0.123183816958042
10mer-m10.19|11|Offset_Kd	0.03782188529415	0.0323831170732126	0.00951484859441649	0.0323209787502407	0.119214141985186
10mer-m10.19|15|Comp_Kd	0.0391127312107385	0.0339827454892047	0.00793928928591256	0.0350077566580952	0.126082125248352
10mer-m10.19|15|Offset_Kd	0.054973973228949	0.0469770905982814	0.0160692681148798	0.0523801050074082	0.146164984564107
10mer-m10.19|15|Supp_Kd	0.00681880431001574	0.0059381324960375	0.00172710054278205	0.00608607585250051	0.0244411914989015
10mer-m10.19|19|Supp_Kd	0.0592632391915362	0.0527395256417111	0.0102229126786454	0.0495800439664841	0.208202283564456
10mer-m10.19|21|Supp_Kd	0.0278442724835839	0.0270089896474182	0.00707989910631668	0.0267619152293457	0.118077864286405
10mer-m10.19|22|Comp_Kd	0.0540762693278754	0.0482887337863117	0.0154764956902873	0.0546113953765865	0.131762539044108
10mer-m10.19|24|Supp_Kd	0.0463675001171655	0.0391399028461438	0.0113480435181285	0.0357142037111484	0.165964933804219
10mer-m10.19|8|Offset_Kd	0.0378001598604927	0.0346521723117346	0.0116525727038661	0.0377332327546585	0.098446202156701
10mer-m10.19|8|Supp_Kd	0.0142593445925747	0.0128046750508312	0.00371549115926403	0.0133950142526573	0.0455006609005308
10mer-m11.20_Kd	0.263617768958818	0.261871853470668	0.218667662149547	0.263878456167212	0.304538018025454
10mer-m11.20|10|Comp_Kd	0.0442178895228329	0.0400652610839159	0.0112813362507121	0.0384051344219543	0.162823412146424
10mer-m11.20|10|Offset_Kd	0.0103656650559808	0.00919200947691895	0.00223582482714888	0.00989043611348973	0.0306300292752482
10mer-m11.20|11|Comp_Kd	0.0343811445351239	0.030955905834913	0.00970176998367035	0.0310187659807302	0.11649666547343
10mer-m11.20|17|Comp_Kd	0.0540973297856838	0.0472112914476974	0.0151533969407407	0.0464735073004861	0.145745888332999
10mer-m11.20|21|Supp_Kd	0.037821251860684	0.0315398236816939	0.0101244692025493	0.0299195839683596	0.122343589772994
10mer-m11.20|9|Offset_Kd	0.0371116405180341	0.0350458576823888	0.00974734233495088	0.0323076013164803	0.147115793940109
10mer-m12.21_Kd	0.205564867148452	0.204582628179242	0.175232414821215	0.206310632823594	0.246165338331987
10mer-m12.21|10|Offset_Kd	0.0546832349872902	0.0468934172671863	0.0135867854128276	0.0466861217707541	0.16832206983712
10mer-m12.21|13|Offset_Kd	0.0337292603514205	0.028894712489294	0.00887179369924544	0.0291023697934146	0.0884927875436252
10mer-m12.21|13|Supp_Kd	0.00569160136198244	0.00435658240639986	0.0011309437466181	0.00421710581839493	0.0195648974937999
10mer-m12.21|17|Comp_Kd	0.0320082512999071	0.0315976656530795	0.00936048035034632	0.0310086044199833	0.106177711126544
