Full	Mean	Lower_CI	Median	Upper_CI
10mer-m10.19_Kd	0.420362763618605	0.403858541186735	0.251349951253262	0.417824068479429	0.534052119064356
10mer-m10.19|10|Comp_Kd	0.0372548060765557	0.0331909217620253	0.00367929289813194	0.035239036815209	0.201208905035226
10mer-m10.19|11|Comp_Kd	0.0305919393470584	0.0291844620054987	0.0079074839770738	0.0321013126886122	0.139172784856672
10mer-m10.19|14|Comp_Kd	0.0250120477843191	0.0207680736793324	0.00396684773413031	0.0196948586097689	0.0981495994607574
10mer-m10.19|14|Offset_Kd	0.0658347946338765	0.0541877804384694	0.00693331542322775	0.0536781316558969	0.304077884840598
10mer-m10.19|16|Supp_Kd	0.052571490129053	0.0457079015017111	0.0111152845078974	0.0534351459008224	0.1662227982061
10mer-m10.19|19|Supp_Kd	0.0379748533670841	0.0340582328858092	0.00395780512826511	0.0355171549733018	0.297190111595145
10mer-m10.19|20|Offset_Kd	0.0386972986923306	0.0322242921970231	0.00789188960882349	0.0323582831253249	0.179548884742997
10mer-m10.19|26|Offset_Kd	0.0525326116018427	0.0438820657131585	0.0110833140864503	0.0355163964456504	0.247765749783853
10mer-m11.20_Kd	0.337940245982631	0.308638523577313	0.168495610313916	0.333238105996171	0.444943454574972
10mer-m11.20|13|Offset_Kd	0.0552972010669919	0.0439946538917427	0.0106168584038604	0.0389049117441854	0.202207012891876
10mer-m11.20|14|Offset_Kd	0.0531110960011128	0.0421003956915209	0.00500949972407299	0.0381867356394174	0.230151739861312
10mer-m11.20|20|Offset_Kd	0.0386973714759758	0.0326086686612619	0.00600839124709489	0.0338248392842419	0.134126416769261
10mer-m11.20|20|Supp_Kd	0.052528173216718	0.042056588836033	0.0110949253168667	0.0362726653989566	0.193737714190031
10mer-m11.20|25|Offset_Kd	0.0249850010461029	0.0210846859141284	0.00565743035750199	0.0222949089296662	0.0973064568388196
10mer-m11.20|8|Offset_Kd	0.0524864949257999	0.0444686114419015	0.0111654922817029	0.042345034291306	0.199404744585321
10mer-m12.21_Kd	0.614429344128863	0.560182842074252	0.283452476035223	0.603887570651104	0.826208614738712
10mer-m12.21|12|Supp_Kd	0.0300775338905331	0.0244460202100352	0.00478355322884113	0.0246955395814424	0.100246273365521
10mer-m12.21|14|Offset_Kd	0.0650467153815245	0.0668964121328481	0.0110614267220129	0.0640602318962775	0.291006029981421
10mer-m12.21|16|Comp_Kd	0.03796209097931	0.0329463998757211	0.0034471844466795	0.0355074596037363	0.288252017643969
10mer-m13.22_Kd	0.5135270563265	0.476818408968594	0.273188453306032	0.506856045368358	0.685699146930052
10mer-m13.22|13|Supp_Kd	0.0301601482196203	0.0230200003833081	0.00485300395780641	0.0241963622420981	0.133601143534648
10mer-m13.22|14|Supp_Kd	0.0301620071009589	0.0251610800377386	0.00505044545368437	0.0306278281387005	0.110543817684963
10mer-m13.22|8|Offset_Kd	0.0385973032052835	0.0341397815313681	0.010710717942773	0.0338505137337197	0.155805659292992
10mer-m13.22|8|Supp_Kd	0.0228338843046436	0.0171912142247478	0.00132908600416013	0.0186825431676005	0.166151673820148
10mer-m14.23_Kd	0.495390543081847	0.449200007743877	0.259331659736053	0.493667574475761	0.608744639316443
10mer-m14.23|10|Comp_Kd	0.052500769749539	0.0410074055668642	0.0110200371511845	0.0389752297373845	0.19827496343005
10mer-m14.23|14|Supp_Kd	0.0524142545197476	0.0488254808202747	0.011083558340688	0.0523921068859595	0.296608625228399
10mer-m14.23|15|Supp_Kd	0.0304858955228702	0.0274496219999592	0.00601012634809108	0.0320881550819506	0.0991561895177012
10mer-m14.23|8|Supp_Kd	0.0345018820257022	0.0273590090933651	0.00300772661917207	0.0297408372496458	0.201260347435461
10mer-m14.23|9|Supp_Kd	0.00519523274437065	0.0040320899264614	0.000361840526662854	0.00351202854509351	0.0975734388825075
10mer-m9.18_Kd	0.388394660015479	0.36987210680117	0.240770740149854	0.386833428914771	0.470111474500708
10mer-m9.18|10|Offset_Kd	0.0651881029735379	0.0493460664592596	0.00795955821577184	0.0439355404285463	0.290615205233879
10mer-m9.18|10|Supp_Kd	0.024128957848183	0.0206467230113674	0.00394041632926755	0.0200525137958647	0.110001756155538
10mer-m9.18|11|Supp_Kd	0.0185873619033702	0.0155814911565788	0.00326066445377438	0.0144261334024836	0.0920593239325622
10mer-m9.18|12|Comp_Kd	0.0386014297899899	0.0306963482255569	0.00670348639006221	0.0323107654905463	0.139067010723886
10mer-m9.18|12|Offset_Kd	0.0198384012929741	0.0166677989145955	0.00274216441751055	0.0164400634908894	0.0908037429280363
10mer-m9.18|13|Offset_Kd	0.0110659748433729	0.00956403326390085	0.00197939432384795	0.00998825690233155	0.0619014169666933
10mer-m9.18|15|Comp_Kd	0.0530933881802134	0.0424200471613658	0.0069399689147175	0.0365419648091314	0.201058171884538
